ds,yhat,yhat_lower,yhat_upper
1880-01-01,-0.24951420681393657,-0.444899685833062,-0.05434096496140158
1880-02-01,-0.23576042185562512,-0.4329462015825535,-0.05860958162944425
1880-03-01,-0.2063187541980885,-0.3929310340464743,-0.02023381352193873
1880-04-01,-0.22097488679874544,-0.41146074635099567,-0.03314951281649567
1880-05-01,-0.213589581164593,-0.4087652299669315,-0.033939815046916275
1880-06-01,-0.26000636006434796,-0.4593507901847845,-0.08346726791482197
1880-07-01,-0.2338332011657438,-0.4214032506691662,-0.04716881022660191
1880-08-01,-0.22607241279045726,-0.4188044675598405,-0.052916713583467466
1880-09-01,-0.20028056159099852,-0.3942513317175372,-0.007821544632554064
1880-10-01,-0.2169913941645374,-0.41708073111382477,-0.04983110629264353
1880-11-01,-0.23993594052238834,-0.4237941158971835,-0.0540824565961601
1880-12-01,-0.19605734001377936,-0.38532975089922833,-0.028272568365670454
1881-01-01,-0.26742259585406264,-0.4594731702644199,-0.08094996113584821
1881-02-01,-0.24476209692609374,-0.43044940484174216,-0.05609199352741685
1881-03-01,-0.208959519355351,-0.3899648906798899,-0.0046530372446081745
1881-04-01,-0.22327517793993334,-0.41326550243699156,-0.031897471528388184
1881-05-01,-0.2184410587724313,-0.39241858647664696,-0.03634865845382781
1881-06-01,-0.2573634664627799,-0.436586099326883,-0.07424019413127153
1881-07-01,-0.2331243117625305,-0.41342328714496374,-0.05032113314933877
1881-08-01,-0.22669007241421277,-0.4133172331164053,-0.027679910260832864
1881-09-01,-0.20426967402826987,-0.390678382218466,-0.01569268762334551
1881-10-01,-0.217377283214399,-0.40554199603051894,-0.025476119187523794
1881-11-01,-0.23733328069747295,-0.4164609130116697,-0.042926823032904474
1881-12-01,-0.20553894305114886,-0.39693087581399855,-0.024412922204570413
1882-01-01,-0.26294399659285816,-0.45202967277669187,-0.07304424420682687
1882-02-01,-0.24303853202247355,-0.4326650543776505,-0.034839772111832625
1882-03-01,-0.21168993162798563,-0.4022314516404997,-0.01987682074529534
1882-04-01,-0.22560620928131503,-0.4206025210104453,-0.047784665451805444
1882-05-01,-0.2232101334616721,-0.42190034523467834,-0.027232920056462315
1882-06-01,-0.25461500113132274,-0.4508914242117762,-0.07565845814819527
1882-07-01,-0.2324590966153625,-0.40999190463114904,-0.04688710490198551
1882-08-01,-0.22738409842681434,-0.40922104924407227,-0.03282412762032994
1882-09-01,-0.2082778443531127,-0.40267373152651514,-0.0071612368878606085
1882-10-01,-0.21770995153853678,-0.41613953964278777,-0.024731135369872367
1882-11-01,-0.234805286768209,-0.42202807797229114,-0.03142527683336308
1882-12-01,-0.2149836636913283,-0.3959194804171405,-0.029374929418721017
1883-01-01,-0.2583084813761941,-0.44906636280495155,-0.0715528003521219
1883-02-01,-0.24137194734526646,-0.4390422104598721,-0.051232246379716774
1883-03-01,-0.21450806057406735,-0.4055387304927501,-0.016147809612944236
1883-04-01,-0.22796470742981842,-0.433659511707609,-0.055388049800120506
1883-05-01,-0.2278927798882454,-0.41864806564352336,-0.04904417605969897
1883-06-01,-0.25176470925118505,-0.4310104407336463,-0.08112891507618854
1883-07-01,-0.2318408795759574,-0.4251639169006755,-0.047127527714881066
1883-08-01,-0.22815485342855157,-0.41777109863250766,-0.061539657156875226
1883-09-01,-0.21230193114808524,-0.3930157302686668,-0.033774583225154704
1883-10-01,-0.21798989165642021,-0.39979827686761626,-0.019524705300171363
1883-11-01,-0.23235395621349164,-0.42354967183901826,-0.04549535860757983
1883-12-01,-0.2243840255747907,-0.4178747782088875,-0.039754897570061926
1884-01-01,-0.25352099158646413,-0.44430875816233545,-0.06962931653891063
1884-02-01,-0.23976720662817225,-0.4345543343787882,-0.05705316309344517
1884-03-01,-0.21032553897060174,-0.41307714586488775,-0.01777765791971186
1884-04-01,-0.22498167157124488,-0.4131586441158803,-0.035656760581584575
1884-05-01,-0.21759636593714243,-0.397187696852865,-0.027856864616717228
1884-06-01,-0.2640131448512386,-0.4608631369374246,-0.08773676522149637
1884-07-01,-0.23783998596639866,-0.43679718248217697,-0.045283825866788203
1884-08-01,-0.23007919760526963,-0.42130350950710976,-0.050081336802504296
1884-09-01,-0.20428734642015617,-0.3945943608555836,-0.01929955540583116
1884-10-01,-0.22099817900756202,-0.4112984292290132,-0.018270913300883387
1884-11-01,-0.2439427253796162,-0.4302746073079046,-0.05498634353226836
1884-12-01,-0.2000641248848023,-0.38325441450782355,-0.022993804491137013
1885-01-01,-0.2714293807393992,-0.4647832968719321,-0.08190676899414961
1885-02-01,-0.2487688818256744,-0.4425142939941751,-0.06011024408911785
1885-03-01,-0.21296630426779717,-0.40889335060361104,-0.022322177473969994
1885-04-01,-0.22728196286665248,-0.40961278325997214,-0.04517469157597064
1885-05-01,-0.2224478437130385,-0.4194585388784785,-0.04147865830492021
1885-06-01,-0.2613702514176114,-0.4517122048701794,-0.07415670727643556
1885-07-01,-0.23713109673111474,-0.4061979625079285,-0.05495896927986193
1885-08-01,-0.23069685739706153,-0.4257788816274506,-0.05266484457784986
1885-09-01,-0.20827645902535466,-0.38123448709974994,-0.013254349449113065
1885-10-01,-0.2213840682253404,-0.40066455790783523,-0.025720679498294065
1885-11-01,-0.24134006572270417,-0.42242292549666255,-0.05805114770191573
1885-12-01,-0.20954572809007824,-0.3981217486068479,-0.02293072433422867
1886-01-01,-0.2669507816461334,-0.44957301970583274,-0.0763114700726482
1886-02-01,-0.24704531709002484,-0.4300839364221109,-0.06385942967128841
1886-03-01,-0.21569671670837154,-0.41243135691174854,-0.03840307709150835
1886-04-01,-0.22961299437607488,-0.40880507120583787,-0.04398690455566956
1886-05-01,-0.22721691857016732,-0.3996548667116284,-0.04337732522233174
1886-06-01,-0.2586217862541171,-0.4498544840119703,-0.08107593491903636
1886-07-01,-0.2364658817518861,-0.41816308670972857,-0.047044264300320306
1886-08-01,-0.23139088357766194,-0.4061543977711876,-0.027316779870393458
1886-09-01,-0.2122846295181783,-0.39482141107181595,-0.024416918322645042
1886-10-01,-0.22171673671741676,-0.41219558218798225,-0.027349881218346986
1886-11-01,-0.23881207196142362,-0.42315354071051586,-0.04737066175490326
1886-12-01,-0.21899044889836405,-0.3969369290648559,-0.03601353213210915
1887-01-01,-0.2623152665974988,-0.4561721946280352,-0.0814685517455991
1887-02-01,-0.2453787325807872,-0.4317314254245616,-0.05664478522233035
1887-03-01,-0.21851484582246702,-0.404885089844588,-0.02009879212888892
1887-04-01,-0.2319714926925248,-0.4199331390984061,-0.04696381749134799
1887-05-01,-0.23189956516479265,-0.4297065960828609,-0.0397506386872011
1887-06-01,-0.25577149454183223,-0.43910699521348523,-0.06415252792839583
1887-07-01,-0.23584766488048467,-0.41478460507296644,-0.03831431106517621
1887-08-01,-0.232161638747426,-0.4296744734479937,-0.03208134444162294
1887-09-01,-0.21630871648113986,-0.40853726402239976,-0.014394572168517923
1887-10-01,-0.22199667700334832,-0.4127775502929566,-0.03238882564498623
1887-11-01,-0.23636074157461254,-0.42253638681541045,-0.04833367375317402
1887-12-01,-0.228390810949704,-0.40385379305584884,-0.03803612529699595
1888-01-01,-0.2575277769757647,-0.4527324994145534,-0.06070157823623298
1888-02-01,-0.24377399203170208,-0.42016583007859276,-0.044941065828139275
1888-03-01,-0.21433232438744806,-0.3969902612316645,-0.032204057698632826
1888-04-01,-0.22898845700240447,-0.40548851903056876,-0.04464659456960283
1888-05-01,-0.22160315138205713,-0.39227758850292377,-0.03468449628363449
1888-06-01,-0.2680199302961073,-0.45678236212524337,-0.0758708711453746
1888-07-01,-0.24184677141132688,-0.4219972400900427,-0.043237453524547685
1888-08-01,-0.2340859830501812,-0.42379133336130176,-0.05087386485476091
1888-09-01,-0.20829413186506912,-0.386319872582607,-0.029298023139994033
1888-10-01,-0.22500496445246002,-0.41066421420652527,-0.027860400677386963
1888-11-01,-0.24794951079037705,-0.43377740762060096,-0.0606100971709377
1888-12-01,-0.20407091026254492,-0.3961216332002636,-0.02188691710474679
1889-01-01,-0.2754361660830328,-0.45846095403875453,-0.10074400862106483
1889-02-01,-0.252775667135257,-0.43424654706680815,-0.07245955489854528
1889-03-01,-0.21697308954654215,-0.42984200190023725,-0.03952839628272168
